city,date,aqi,co,o3
Ahmedabad,03-11-2021,5,687.6,60.8
Ahmedabad,04-11-2021,5,1054.76,19.67
Ahmedabad,05-11-2021,5,814.44,42.2
Ahmedabad,06-11-2021,5,847.82,37.19
Ahmedabad,07-11-2021,5,594.14,107.29
Ahmedabad,08-11-2021,5,640.87,85.12
Ahmedabad,09-11-2021,5,727.65,80.11
Ahmedabad,10-11-2021,5,700.95,85.83
Ahmedabad,11-11-2021,5,1068.12,34.33
Ahmedabad,12-11-2021,5,767.71,61.51
Ahmedabad,13-11-2021,5,761.03,67.23
Ahmedabad,14-11-2021,5,821.11,125.89
Ahmedabad,15-11-2021,5,1241.68,62.23
Ahmedabad,16-11-2021,5,821.11,110.15
Ahmedabad,17-11-2021,5,761.03,121.59
Ahmedabad,18-11-2021,5,707.63,107.29
Ahmedabad,19-11-2021,5,821.11,55.07
Ahmedabad,20-11-2021,5,794.41,67.23
Ahmedabad,21-11-2021,5,694.27,84.4
Ahmedabad,22-11-2021,5,654.22,81.54
Ahmedabad,23-11-2021,5,1255.04,25.39
Ahmedabad,24-11-2021,5,1522.06,12.7
Ahmedabad,25-11-2021,5,1708.98,10.73
Ahmedabad,26-11-2021,5,1335.14,23.6
Ahmedabad,27-11-2021,5,1628.88,0.02
Ahmedabad,28-11-2021,5,1094.82,10.1
Ahmedabad,29-11-2021,5,647.54,52.21
Ahmedabad,30-11-2021,5,500.68,75.1
Ahmedabad,01-12-2021,5,500.68,83.68
Ahmedabad,02-12-2021,5,640.87,77.25
Ahmedabad,03-12-2021,5,514.03,67.95
Ahmedabad,04-12-2021,5,567.44,72.96
Ahmedabad,05-12-2021,5,1068.12,18.24
Ahmedabad,06-12-2021,5,1081.47,10.91
Ahmedabad,07-12-2021,5,1108.17,17.88
Ahmedabad,08-12-2021,5,741,65.09
Ahmedabad,09-12-2021,5,841.14,31.47
Ahmedabad,10-12-2021,5,867.84,34.69
Ahmedabad,11-12-2021,5,934.6,18.78
Ahmedabad,12-12-2021,5,700.95,48.64
Ahmedabad,13-12-2021,5,707.63,55.07
Ahmedabad,14-12-2021,5,741,61.51
Ahmedabad,15-12-2021,5,854.49,45.78
Ahmedabad,16-12-2021,5,754.36,65.09
Ahmedabad,17-12-2021,5,741,78.68
Ahmedabad,18-12-2021,5,654.22,114.44
Ahmedabad,19-12-2021,4,500.68,110.15
Ahmedabad,20-12-2021,4,480.65,68.66
Ahmedabad,21-12-2021,5,934.6,34.33
Ahmedabad,22-12-2021,5,1895.9,0.35
Ahmedabad,23-12-2021,5,3124.24,0
Ahmedabad,24-12-2021,5,1789.09,0.98
Ahmedabad,25-12-2021,5,1441.96,0.47
Ahmedabad,26-12-2021,5,2109.53,0.12
Ahmedabad,27-12-2021,5,1602.17,5.14
Ahmedabad,28-12-2021,5,1321.79,25.39
Ahmedabad,29-12-2021,5,807.76,35.76
Ahmedabad,30-12-2021,4,614.17,80.11
Ahmedabad,31-12-2021,4,453.95,80.11
Ahmedabad,01-01-2022,4,520.71,68.66
Ahmedabad,02-01-2022,5,814.44,31.47
Ahmedabad,03-01-2022,5,754.36,47.92
Ahmedabad,04-01-2022,5,974.66,38.62
Ahmedabad,05-01-2022,5,1455.31,14.84
Ahmedabad,06-01-2022,4,660.9,45.06
Ahmedabad,07-01-2022,5,3257.75,0
Ahmedabad,08-01-2022,5,2990.72,0
Ahmedabad,09-01-2022,4,841.14,33.62
Ahmedabad,10-01-2022,4,707.63,36.84
Ahmedabad,11-01-2022,4,727.65,47.92
Ahmedabad,12-01-2022,4,794.41,42.92
Ahmedabad,13-01-2022,5,1174.93,9.92
Ahmedabad,14-01-2022,5,834.47,40.41
